uid,address,avg_rate,city,country,latitude,longitude,name,price,thumbnail
1532eab6-ae38-4893-a223-5ecbd82e68b8,IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands,8.8,Amsterdam,Netherlands,52.3846059,4.8941866,Room Mate Aitana,69,
60e7fe9f-399f-4050-94b4-fea681d28a1c,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,9.1,London,United Kingdom,51.4980052,-0.1643238,Knightsbridge Hotel,229,
941299c0-07a5-4876-bba6-6eb132fd8c4e,3 Berkeley Street Westminster Borough London W1J 8NE United Kingdom,8.0,London,United Kingdom,51.507746,-0.1422993,Holiday Inn London Mayfair,265,
70d073a5-0d83-4a7e-a4e1-925c4f1ba33a,Via Lazzaretto 5 Central Station 20124 Milan Italy,8.4,Milan,Italy,45.4776167,9.2016244,NH Milano Machiavelli,200,
4b939fad-178f-4498-9fb2-85bcdb645279,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,8.6,Vienna,Austria,48.231911,16.4129493,Melia Vienna,174,
82509728-518d-4581-9a68-59278235da2e,Via Laietana 42 Ciutat Vella 08003 Barcelona Spain,7.1,Barcelona,Spain,41.3860521,2.176157,Ilunion Almirante,162,
1994a38f-e633-4c1b-a634-3e486ac02012,Avenida Marqu s de l Argentera 4 Ciutat Vella 08003 Barcelona Spain,8.1,Barcelona,Spain,41.3837583,2.1846933,Hotel Ciutadella Barcelona,132,
23f79978-4cc7-45a8-a701-3f3687c464c2,Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,8.4,Amsterdam,Netherlands,52.3727067,4.8943658,NH Collection Amsterdam Grand Hotel Krasnapolsky,342,
c64a7052-9de3-422f-a15e-3f9b743576e9,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,8.6,London,United Kingdom,51.5254162,-0.0772849,Ace Hotel London Shoreditch,91,
73e435ae-71bb-4c8c-99a7-1ffc735f7713,Piazza Luigi di Savoia 20 Central Station 20124 Milan Italy,8.7,Milan,Italy,45.4852549,9.2069501,Starhotels Anderson,255,
bd69b8e5-e8dd-4e4b-b4ca-283a9831a538,22 28 Broadway Westminster Borough London SW1H 0BH United Kingdom,9.1,London,United Kingdom,51.4993927,-0.1329128,Conrad London St James,330,
51184e62-c2a2-41f3-bcdf-0ce2b8f0e7ea,43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,8.9,London,United Kingdom,51.5553678,-0.2864945,St George s Hotel Wembley,385,
2e8f3be8-2da4-475b-9093-b02199d5cc76,Aribau 54 Eixample 08011 Barcelona Spain,8.5,Barcelona,Spain,41.3880549,2.1599602,Cram,256,
cb512776-345c-4f2c-ac90-983623e23520,9 rue Gr goire de Tours 6th arr 75006 Paris France,9.3,Paris,France,48.853299,2.337993,Victoire Germain,135,
f802280b-41d4-4cce-8a68-68deb0614392,21 Gower Street Camden London WC1E 6HG United Kingdom,7.8,London,United Kingdom,51.5205441,-0.1308091,The Academy,67,
4b6e4e85-dad2-475a-85c4-8338f0acd1bc,65 rue Blanche 9th arr 75009 Paris France,8.3,Paris,France,48.8820838,2.3315849,R Kipling by Happyculture,381,
efb87cef-9d34-48bb-8a50-0d18e3f8b6a4,40 trinity square City of London London EC3N 4DJ United Kingdom,9.1,London,United Kingdom,51.510237,-0.0764428,citizenM Tower of London,109,
47133e17-aaea-40a2-9f9a-5209db89f601,Marina 19 21 08005 Barcelona Spain,8.8,Barcelona,Spain,41.3865424,2.1969665,Hotel Arts Barcelona,195,
ddac4f6a-0d69-46a5-a985-5161156bda4c,27 avenue des Ternes 17th arr 75017 Paris France,7.9,Paris,France,48.8782679,2.294852,Mercure Paris Arc de Triomphe Etoile,230,
03e1018f-3567-4cd5-a9bb-3a6b00cbb607,Via Hoepli 6 Milan City Center 20121 Milan Italy,8.2,Milan,Italy,45.465957,9.192297,Sina De La Ville,284,
30167fc0-152f-4ccc-9e7b-44e2fd30c667,17 rue de l Arcade 8th arr 75008 Paris France,8.6,Paris,France,48.8720593,2.3236802,Hotel Bedford,99,
d6846b4d-469b-47bc-b071-270b6e29e27c,Via Manzoni 31 Milan City Center 20121 Milan Italy,9.2,Milan,Italy,45.470532,9.19302,Armani Hotel Milano,176,
760744ca-40a6-4901-976b-1b35798c249b,6 Rue Constance 18th arr 75018 Paris France,9.3,Paris,France,48.8854538,2.3335809,Le Relais Montmartre,110,
e015e896-06bc-473e-9b39-4d05782c2db9,Whitcomb Street Trafalgar Square Westminster Borough London WC2H 7HG United Kingdom,8.4,London,United Kingdom,51.509133,-0.130189,Thistle Trafalgar Square The Royal Trafalgar,391,
9a7db15f-efef-4fac-a65f-82769e1e64e3,Via Ludovico Di Breme 77 Certosa 20156 Milan Italy,8.1,Milan,Italy,45.5005657,9.1383663,DoubleTree By Hilton Milan,303,
f994b5ce-cfb0-4e5a-a5e9-c4650ab6c644,7 Gracechurch Street City of London London EC3V 0DR United Kingdom,8.2,London,United Kingdom,51.5127964,-0.0847973,Club Quarters Hotel Gracechurch,255,
55938418-d3ef-44f2-8f4b-779c5dae11e9,75 Gower Street Camden London WC1E 6HJ United Kingdom,6.4,London,United Kingdom,51.5220522,-0.132414,Hotel Cavendish,252,
0805251e-9670-47b8-9661-4823c4584e4f,Pla a de Llevant s n Sant Mart 08019 Barcelona Spain,8.2,Barcelona,Spain,41.4111652,2.2192012,Hotel SB Diagonal Zero Barcelona 4 Sup,321,
1d345a19-0bc9-433b-b2a8-68643fe6f9d7,Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,8.6,Vienna,Austria,48.1996129,16.3773546,Hotel Am Konzerthaus Vienna MGallery by Sofitel,103,
e3002698-da5f-49a3-9e14-964a7729cd9c,Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands,8.6,Amsterdam,Netherlands,52.3419432,4.8759604,citizenM Amsterdam,63,
76607e62-337c-480d-9189-9365550e2a4f,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,8.1,Amsterdam,Netherlands,52.3511447,4.8740764,Bilderberg Garden Hotel,59,
fe108999-6c75-4983-b874-24c0e80de637,Vilamari 34 36 Eixample 08015 Barcelona Spain,8.3,Barcelona,Spain,41.3766732,2.1524478,Hotel Vilamar ,122,
f5e62569-9e4c-42b9-9fe6-c773dc209260,81 Great Eastern Street Islington London EC2A 3HU United Kingdom,9.0,London,United Kingdom,51.5255136,-0.082927,The Hoxton Shoreditch,180,
44a61520-5f41-4e1f-a934-8e4956ea86ff,Molenwerf 1 1014 AG Amsterdam Netherlands,8.5,Amsterdam,Netherlands,52.385601,4.8470597,Golden Tulip Amsterdam West,69,
7069ca50-5647-4739-aed5-a14bdcfab7bd,Via Ges 6 8 Milan City Center 20121 Milan Italy,9.1,Milan,Italy,45.469339,9.195108,Four Seasons Hotel Milano,176,
cd319035-9356-4ef7-abe9-df5e5551a916,Schottenring 24 01 Innere Stadt 1010 Vienna Austria,9.2,Vienna,Austria,48.2163149,16.3685103,Palais Hansen Kempinski Vienna,274,
91518b65-b44d-4690-bd94-de308befd212,2 Rue De Parme 9th arr 75009 Paris France,9.2,Paris,France,48.8814056,2.3282568,Hotel Design Secret de Paris,60,
ffe736fd-9a32-4d6f-afd0-4241c5b98a04,15 Beeston Place Westminster Borough London SW1W 0JW United Kingdom,9.4,London,United Kingdom,51.4975621,-0.145551,The Goring,75,
b8966179-4c4c-4718-856b-a329a0e0d48e,Nicaragua 47 Sants Montju c 08029 Barcelona Spain,8.1,Barcelona,Spain,41.383515,2.1407396,Acta CITY47,319,
a3d993f1-1d22-458a-8849-2edeb65a5cc1,7 rue Cl ment Marot 8th arr 75008 Paris France,8.8,Paris,France,48.8671391,2.3038447,Hotel West End,58,
8aa6c96f-ecd5-43fd-acef-3cc6b68683b3,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,8.0,London,United Kingdom,51.5119933,-0.1782794,Best Western Mornington Hotel Hyde Park,354,
eb44e84f-71bc-47ce-ad25-a8efdc4a4197,6 Hercules Road Lambeth London SE1 7DP United Kingdom,8.8,London,United Kingdom,51.4982412,-0.1134715,Park Plaza London Waterloo,149,
b2062173-0568-4cf0-b498-f645c7fb5e84,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,8.4,London,United Kingdom,51.5100362,-0.190657,DoubleTree by Hilton London Hyde Park,65,
826b6e69-ffdc-4a22-b90e-4ea50c47fa4d,26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,7.5,London,United Kingdom,51.4916677,-0.1947475,Mayflower Hotel Apartments,255,
5d5f1e07-16fd-4c8f-9b45-b98e2458f8e7,2 avenue la Porte Molitor 16th arr 75016 Paris France,8.8,Paris,France,48.8448902,2.252833,Molitor Paris MGallery by Sofitel,334,
252e7b0d-9a25-46f8-bad6-a013b1c2ae33,6 Waterloo Place Westminster Borough London SW1Y 4AN United Kingdom,9.2,London,United Kingdom,51.5076044,-0.132266,Sofitel London St James,316,
2f05d0fa-9d4e-4301-8ebf-90f673129db3,Via Mac Mahon 45 Sempione 20155 Milan Italy,7.5,Milan,Italy,45.4909585,9.1614268,Hotel Boutique Duomo,84,
a810f4cd-9f09-46c5-b84c-523ab03c20db,2 rue Geoffroy Marie 9th arr 75009 Paris France,8.4,Paris,France,48.8732231,2.3436097,Villa Opera Drouot,151,
36c2c033-1fe2-4ff4-ab2c-5cd1f7d01748,Pasteurgasse 1 09 Alsergrund 1090 Vienna Austria,8.7,Vienna,Austria,48.2217697,16.3578738,Hotel Palais Strudlhof,193,
031fb880-540c-4086-ac11-481352a67858,70 avenue des Champs Elysees 8th arr 75008 Paris France,7.9,Paris,France,48.8711365,2.3050482,Paris Marriott Champs Elysees Hotel,117,
94d5ed86-fede-4700-825b-9fe523c2d8b5,21 Avenue De La Grande Arm e 16th arr 75016 Paris France,8.2,Paris,France,48.8747153,2.2906388,Montfleuri,337,
f82a32ed-7fdd-4099-b95a-92796add793c,45 Prescot Street City of London London E1 8GP United Kingdom,8.7,London,United Kingdom,51.5115509,-0.0714919,Grange Tower Bridge Hotel,148,
7d6b94ee-8028-41cc-891e-a48ba6281e5f,33 place de la Madeleine 8th arr 75008 Paris France,8.4,Paris,France,48.8710402,2.3248014,Madeleine Plaza,254,
4c1e5326-ad81-46de-8ca4-965eea557e74,20 Chesham Place Kensington and Chelsea London SW1X 8HQ United Kingdom,9.2,London,United Kingdom,51.4973203,-0.1562558,The Hari London,371,
c715034b-743d-4fed-a2ed-c2621c26618f,Avenida Diagonal 205 Sant Mart 08018 Barcelona Spain,8.0,Barcelona,Spain,41.4036219,2.1902808,The Gates Diagonal Barcelona,323,
9435d571-81c1-4b5b-9b48-e7198469b017,9 Rue de Washington 8th arr 75008 Paris France,8.3,Paris,France,48.8726814,2.3020866,Hotel Cristal Champs Elys es,273,
43204117-636d-47f7-8b00-55524dfd6566,41 Rue Des Ecoles 5th arr 75005 Paris France,8.1,Paris,France,48.8488044,2.3469889,Villa Panth on,330,
cb0bffbf-8996-4f77-abb6-dbe520510ae7,Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands,8.5,Amsterdam,Netherlands,52.363889,4.881302,Hampshire Hotel Amsterdam American,364,
b55c8c9a-8595-4308-9a7b-6034d07d330d,San Sever 5 Ciutat Vella 08002 Barcelona Spain,9.2,Barcelona,Spain,41.3832498,2.1753483,Hotel Neri,317,
ed83fcfa-84c9-460a-b0c5-8e0f4f846c4e,2 Bridge Place Victoria Westminster Borough London SW1V 1QA United Kingdom,8.4,London,United Kingdom,51.49398,-0.143372,DoubleTree by Hilton London Victoria,373,
fb1d95ad-b35b-4f74-a8bc-a8551d8fea5a,Via Senigallia 6 20161 Milan Italy,8.1,Milan,Italy,45.5331372,9.1711019,Hotel Da Vinci,288,
4045f873-3cd1-46a2-9ed7-24bdda34266c,Schulerstra e 10 01 Innere Stadt 1010 Vienna Austria,9.3,Vienna,Austria,48.2082215,16.3751842,Hotel K nig von Ungarn,118,
aa418242-f577-43d8-ab21-556aefbd0a6a,2 Rue Saint Sulpice 6th arr 75006 Paris France,8.4,Paris,France,48.8516148,2.3381293,Hotel Louis 2,359,
80f5b84b-0455-4e52-9c2f-c32243cfa95a,8 Rue Jean Goujon 8th arr 75008 Paris France,8.8,Paris,France,48.866676,2.3089908,La Maison Champs Elys es,215,
648a4864-3484-42f9-b016-8ded0cdf722e,55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,7.3,London,United Kingdom,51.5153672,-0.1783271,Shaftesbury Premier London Paddington,158,
b8de092e-0e5d-44af-b5f6-f5f56c423d28,Llan 24 Eixample 08015 Barcelona Spain,8.6,Barcelona,Spain,41.3957584,2.1822402,Ofelias Hotel 4 Sup,84,
e264cf43-9f08-42f9-bdd6-2759a2000d25,King William Walk Greenwich London SE10 9JW United Kingdom,8.2,London,United Kingdom,51.480672,-0.0071375,De Vere Devonport House,201,
122e2294-46c2-491b-a4cd-a22ff05785fe,Empire Way Wembley Brent London HA9 8DS United Kingdom,8.3,London,United Kingdom,51.5590955,-0.284704,Holiday Inn London Wembley,279,
6ba07b1f-715e-4578-bc0b-af3a64dc5588,3 rue Clauzel 9th arr 75009 Paris France,8.6,Paris,France,48.878932,2.3394182,Les Matins de Paris Spa,95,
0143c94e-a509-42e3-a750-15632dadb993,Viale Sarca 336 Bicocca Zara 20125 Milan Italy,8.3,Milan,Italy,45.5257221,9.2150033,Hotel degli Arcimboldi,127,
ecdaed0d-9ec8-4d33-a03b-b2b54445340d,Robert Stolz Platz 1 01 Innere Stadt 1010 Vienna Austria,8.3,Vienna,Austria,48.2027296,16.3661211,Le Meridien Vienna,101,
2546b84b-9317-46a2-b02f-784b6bb6f71c,110 rue Blomet 15th arr 75015 Paris France,8.5,Paris,France,48.8405612,2.2991035,Hotel Eden,323,
02f7d53a-31d6-415f-83a4-7e9660ac2c9e,46 Blackfriars Road Southwark London SE1 8NZ United Kingdom,8.7,London,United Kingdom,51.5050165,-0.1049831,Novotel London Blackfriars,190,
4e2e3b14-451a-4746-be72-2366a9009b48,71 79 Southwark Street Southwark London SE1 0JA United Kingdom,8.5,London,United Kingdom,51.5052587,-0.099176,Mercure London Bridge,193,
3abaed35-04ce-4e17-a030-dfa055064ee0,Via Tiziano 6 Fiera Milano City 20145 Milan Italy,8.6,Milan,Italy,45.4709657,9.1566242,Hotel Tiziano Park Vita Parcour Gruppo MiniHotels,116,
e4d9a3c7-eee4-4254-b68c-8fbaabdb79c5,112 boulevard de S bastopol 3rd arr 75003 Paris France,8.3,Paris,France,48.8687425,2.3541761,Best Western Premier Marais Grands Boulevards,166,
ee1f32f7-bf7f-4e6a-879d-6f73e762f7f1,20 bis rue de la Ga t 14th arr 75014 Paris France,8.2,Paris,France,48.8397623,2.3235324,Hotel Le M,151,
b61a5909-f7da-494b-8742-1e6c431b43c1,33 Albemarle Street Mayfair Westminster Borough London W1S 4BP United Kingdom,9.1,London,United Kingdom,51.5090558,-0.1421661,Rocco Forte Brown s Hotel,214,
aacc611f-714f-4f51-9b71-6488e8a3e1b9,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,9.3,London,United Kingdom,51.4990259,-0.1427453,The Nadler Victoria,319,
29b55d11-568c-4e87-98d3-f85b0f6519e8,10 rue de Bruxelles 9th arr 75009 Paris France,9.3,Paris,France,48.88366,2.3313845,Maison Souquet,389,
5b3c43e4-8eda-418a-a7ec-e0da79f8e73e,Via Monte Rosa 90 Fiera Milano City 20149 Milan Italy,7.5,Milan,Italy,45.4788051,9.1446276,Mokinba Hotels Montebianco,59,
f20bed5e-996a-4bac-87d1-1fa3cef325bb,Corso di Porta Romana 64 Milan City Center 20122 Milan Italy,7.8,Milan,Italy,45.4572218,9.1937008,Hotel Romana Residence,152,
33cda00f-1b81-42a5-84aa-e9ca009cfaeb,82 Gloucester Place Westminster Borough London W1U 6HN United Kingdom,7.5,London,United Kingdom,51.5195857,-0.1584803,Hotel 82 London,226,
3a15ebe4-fd75-441b-88e5-8e9774148905,K rntner Ring 9 01 Innere Stadt 1010 Vienna Austria,9.0,Vienna,Austria,48.2021105,16.3720841,Grand Hotel Wien,281,
efbbb98b-13b1-4320-80e7-127447e622f2,4 Broad Court Bow Street Covent Garden Westminster Borough London WC2B 5QZ United Kingdom,8.7,London,United Kingdom,51.5139315,-0.1219893,Fielding Hotel,143,
