country,city,hotel_name,hotel_address
Netherlands,Amsterdam,Hampshire Hotel Rembrandt Square Amsterdam,Amstelstraat 17 Amsterdam City Center 1017 DA Amsterdam Netherlands
Netherlands,Amsterdam,Hampshire Hotel The Manor Amsterdam,Linnaeusstraat 89 Oost 1093 EK Amsterdam Netherlands
Netherlands,Amsterdam,Hampton by Hilton Amsterdam Centre East,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands
Netherlands,Amsterdam,Hilton Amsterdam,Apollolaan 138 Oud Zuid 1077 BG Amsterdam Netherlands
Netherlands,Amsterdam,Holiday Inn Amsterdam,De Boelelaan 2 Zuideramstel 1083 HJ Amsterdam Netherlands
Netherlands,Amsterdam,Holiday Inn Amsterdam Arena Towers,Hoogoorddreef 66 Zuidoost 1101 BE Amsterdam Netherlands
Netherlands,Amsterdam,Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands
Netherlands,Amsterdam,Hotel Esther a,Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands
Netherlands,Amsterdam,Hotel JL No76,Jan Luijkenstraat 76 Oud Zuid 1071 CT Amsterdam Netherlands
Netherlands,Amsterdam,Hotel Okura Amsterdam,Ferdinand Bolstraat 333 Oud Zuid 1072 LH Amsterdam Netherlands
Netherlands,Amsterdam,Hotel Roemer Amsterdam,Roemer Visscherstraat 8 10 Oud West 1054 EV Amsterdam Netherlands
Netherlands,Amsterdam,Hotel V Nesplein,Nes 49 Amsterdam City Center 1012 KD Amsterdam Netherlands
Netherlands,Amsterdam,Hotel Vondel Amsterdam,Vondelstraat 18 30 Oud West 1054 GE Amsterdam Netherlands
Netherlands,Amsterdam,INK Hotel Amsterdam MGallery by Sofitel,Nieuwezijds Voorburgwal 67 Amsterdam City Center 1012 RE Amsterdam Netherlands
Netherlands,Amsterdam,Inntel Hotels Amsterdam Centre,Nieuwezijdskolk 19 Amsterdam City Center 1012 PV Amsterdam Netherlands
Netherlands,Amsterdam,Jaz Amsterdam,De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands
Netherlands,Amsterdam,Luxury Suites Amsterdam,Oudeschans 75 Amsterdam City Center 1011 KW Amsterdam Netherlands
Netherlands,Amsterdam,M venpick Hotel Amsterdam City Centre,Piet Heinkade 11 Zeeburg 1019 BR Amsterdam Netherlands
Netherlands,Amsterdam,Mercure Amsterdam Sloterdijk Station,Naritaweg 1 Westpoort 1043 BP Amsterdam Netherlands
Netherlands,Amsterdam,Mercure Hotel Amsterdam City South,Joan Muyskenweg 10 Oost 1096 CJ Amsterdam Netherlands
Netherlands,Amsterdam,Mercure Hotel Amsterdam West,Oude Haagseweg 20 Slotervaart 1066 BW Amsterdam Netherlands
Netherlands,Amsterdam,NH Amsterdam Caransa,Rembrandtplein 19 Amsterdam City Center 1017 CT Amsterdam Netherlands
Netherlands,Amsterdam,NH Amsterdam Museum Quarter,Hobbemakade 50 Oud Zuid 1071 XL Amsterdam Netherlands
Netherlands,Amsterdam,NH Amsterdam Schiller,Rembrandtplein 26 36 Amsterdam City Center 1017 CV Amsterdam Netherlands
Netherlands,Amsterdam,NH Amsterdam Zuid,Van Leijenberghlaan 221 Zuideramstel 1082 GG Amsterdam Netherlands
